"freq
References : ['dB(Gc)']
Dependency : [?]
Num. Points : [?]
Matrix Size : ?
Type : ?","dB(Gc)
References : []
Dependency : [freq]
Num. Points : [32001]
Matrix Size : scalar
Type : Real"
2.881 GHz,-13.979
2.881 GHz,-12.041
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,0.263
2.881 GHz,<invalid>
2.881 GHz,0.000
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,-12.041
2.881 GHz,<invalid>
2.881 GHz,0.000
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-12.041
2.881 GHz,0.000
2.881 GHz,0.000
2.881 GHz,-6.726
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-24.082
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,6.021
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,0.000
2.881 GHz,-12.041
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-12.041
2.881 GHz,-6.021
2.881 GHz,-12.041
2.881 GHz,-13.010
2.881 GHz,-21.072
2.881 GHz,-6.284
2.881 GHz,-18.325
2.881 GHz,0.000
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-18.062
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-18.062
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-18.325
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,-18.062
2.881 GHz,-12.304
2.881 GHz,-18.325
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-12.304
2.881 GHz,<invalid>
2.881 GHz,-15.563
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-6.021
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-12.041
2.881 GHz,-24.346
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-18.325
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,<invalid>
2.881 GHz,-20.000
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-18.062
2.882 GHz,<invalid>
2.882 GHz,-13.010
2.882 GHz,-18.325
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-18.062
2.882 GHz,<invalid>
2.882 GHz,-5.757
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-5.315
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.284
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,6.021
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,0.000
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-19.031
2.882 GHz,<invalid>
2.882 GHz,0.000
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-12.041
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,6.021
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.021
2.882 GHz,0.000
2.882 GHz,<invalid>
2.882 GHz,0.000
2.882 GHz,<invalid>
2.882 GHz,-6.021
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.990
2.882 GHz,-6.021
2.882 GHz,-18.062
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,-12.041
2.882 GHz,-6.990
2.882 GHz,-20.000
2.882 GHz,-6.284
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.021
2.882 GHz,-6.021
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,0.000
2.882 GHz,-19.031
2.882 GHz,-19.031
2.882 GHz,<invalid>
2.882 GHz,0.000
2.882 GHz,-20.000
2.882 GHz,-6.021
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-12.304
2.882 GHz,-18.325
2.882 GHz,-6.990
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,-12.041
2.882 GHz,<invalid>
2.882 GHz,-18.062
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.021
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-19.031
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,6.021
2.882 GHz,-6.021
2.882 GHz,-12.041
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-6.726
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.882 GHz,-18.325
2.882 GHz,<invalid>
2.882 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,-6.284
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,-18.325
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,-19.031
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,6.284
2.883 GHz,-5.757
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,-18.062
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-12.041
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-18.062
2.883 GHz,-6.021
2.883 GHz,-18.062
2.883 GHz,<invalid>
2.883 GHz,-5.315
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-18.325
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-5.757
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-12.041
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,-18.325
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,-6.021
2.883 GHz,0.000
2.883 GHz,0.000
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-13.010
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-12.041
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,-12.041
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-18.325
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-18.325
2.883 GHz,<invalid>
2.883 GHz,-18.325
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,-5.315
2.883 GHz,-18.062
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-18.062
2.883 GHz,-6.021
2.883 GHz,6.284
2.883 GHz,-18.325
2.883 GHz,6.021
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-20.000
2.883 GHz,6.284
2.883 GHz,<invalid>
2.883 GHz,0.263
2.883 GHz,-19.031
2.883 GHz,-9.542
2.883 GHz,6.284
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-5.757
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.883 GHz,-12.304
2.883 GHz,-15.563
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,-6.021
2.883 GHz,-6.021
2.883 GHz,<invalid>
2.883 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,0.000
2.884 GHz,<invalid>
2.884 GHz,-18.325
2.884 GHz,<invalid>
2.884 GHz,-20.000
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-12.304
2.884 GHz,-20.000
2.884 GHz,<invalid>
2.884 GHz,-12.041
2.884 GHz,-15.563
2.884 GHz,<invalid>
2.884 GHz,-5.757
2.884 GHz,<invalid>
2.884 GHz,-18.325
2.884 GHz,-5.757
2.884 GHz,0.000
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-2.553
2.884 GHz,<invalid>
2.884 GHz,-6.284
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-6.021
2.884 GHz,<invalid>
2.884 GHz,-6.284
2.884 GHz,-13.979
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-5.757
2.884 GHz,<invalid>
2.884 GHz,-24.346
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-5.757
2.884 GHz,-18.062
2.884 GHz,<invalid>
2.884 GHz,0.000
2.884 GHz,<invalid>
2.884 GHz,-6.284
2.884 GHz,0.969
2.884 GHz,<invalid>
2.884 GHz,-19.031
2.884 GHz,-12.041
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-6.021
2.884 GHz,-18.062
2.884 GHz,-18.062
2.884 GHz,-18.325
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-6.021
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-6.021
2.884 GHz,-6.021
2.884 GHz,-18.325
2.884 GHz,-12.041
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-6.021
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,0.000
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-15.563
2.884 GHz,-6.726
2.884 GHz,<invalid>
2.884 GHz,-6.021
2.884 GHz,-6.021
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-6.021
2.884 GHz,<invalid>
2.884 GHz,-5.051
2.884 GHz,0.000
2.884 GHz,-3.522
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-12.304
2.884 GHz,-12.041
2.884 GHz,<invalid>
2.884 GHz,-18.325
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,<invalid>
2.884 GHz,-12.041
2.884 GHz,-21.072
2.884 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,0.000
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,-12.041
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-6.284
2.885 GHz,0.000
2.885 GHz,<invalid>
2.885 GHz,-6.990
2.885 GHz,-6.284
2.885 GHz,6.284
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-12.041
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,6.284
2.885 GHz,<invalid>
2.885 GHz,-12.041
2.885 GHz,-18.325
2.885 GHz,<invalid>
2.885 GHz,-12.041
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,0.263
2.885 GHz,-6.021
2.885 GHz,-20.000
2.885 GHz,0.263
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-6.990
2.885 GHz,<invalid>
2.885 GHz,-5.757
2.885 GHz,-12.109
2.885 GHz,-6.990
2.885 GHz,<invalid>
2.885 GHz,-5.757
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,-13.979
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,6.021
2.885 GHz,<invalid>
2.885 GHz,6.284
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-18.325
2.885 GHz,6.284
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,0.000
2.885 GHz,-20.000
2.885 GHz,<invalid>
2.885 GHz,-12.041
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-12.304
2.885 GHz,<invalid>
2.885 GHz,-12.041
2.885 GHz,-13.010
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,-18.062
2.885 GHz,-12.041
2.885 GHz,-21.072
2.885 GHz,-12.041
2.885 GHz,-13.010
2.885 GHz,-18.062
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-12.041
2.885 GHz,6.021
2.885 GHz,-6.021
2.885 GHz,-6.021
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,0.000
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,-12.041
2.885 GHz,-18.062
2.885 GHz,6.021
2.885 GHz,<invalid>
2.885 GHz,-6.021
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.885 GHz,<invalid>
2.886 GHz,-19.031
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-6.284
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.284
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-13.979
2.886 GHz,-18.325
2.886 GHz,-8.062
2.886 GHz,-6.021
2.886 GHz,-18.325
2.886 GHz,-15.563
2.886 GHz,6.284
2.886 GHz,<invalid>
2.886 GHz,-6.284
2.886 GHz,<invalid>
2.886 GHz,-12.041
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,-18.062
2.886 GHz,<invalid>
2.886 GHz,-12.041
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-12.041
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-18.325
2.886 GHz,0.000
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-13.010
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-18.062
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-19.031
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.284
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,-18.325
2.886 GHz,<invalid>
2.886 GHz,0.000
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-18.062
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-18.062
2.886 GHz,-12.041
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.284
2.886 GHz,<invalid>
2.886 GHz,-12.041
2.886 GHz,-20.000
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-5.315
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-21.072
2.886 GHz,<invalid>
2.886 GHz,0.000
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,-12.041
2.886 GHz,-18.325
2.886 GHz,-19.031
2.886 GHz,-6.021
2.886 GHz,<invalid>
2.886 GHz,0.000
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,<invalid>
2.886 GHz,-12.041
2.886 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-12.041
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-15.563
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-15.563
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-6.284
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-13.010
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.284
2.887 GHz,<invalid>
2.887 GHz,-6.726
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-2.499
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-6.284
2.887 GHz,-12.041
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-6.021
2.887 GHz,-6.021
2.887 GHz,-6.021
2.887 GHz,-18.062
2.887 GHz,-15.563
2.887 GHz,-6.021
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,0.000
2.887 GHz,<invalid>
2.887 GHz,-6.990
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,0.000
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,0.000
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-24.346
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-20.000
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-13.979
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-19.031
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-19.031
2.887 GHz,-6.021
2.887 GHz,6.284
2.887 GHz,<invalid>
2.887 GHz,-18.062
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-6.021
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-18.062
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.887 GHz,-6.021
2.887 GHz,-20.000
2.887 GHz,6.021
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,0.263
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-12.041
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-19.031
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-21.072
2.887 GHz,-20.000
2.887 GHz,<invalid>
2.887 GHz,<invalid>
2.887 GHz,-6.021
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-12.304
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,6.021
2.888 GHz,0.263
2.888 GHz,-18.325
2.888 GHz,-6.021
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,0.969
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,6.021
2.888 GHz,-21.072
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-12.041
2.888 GHz,-6.726
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-5.757
2.888 GHz,-18.062
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,0.969
2.888 GHz,<invalid>
2.888 GHz,-12.304
2.888 GHz,-12.041
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,6.284
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,-12.041
2.888 GHz,0.000
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,6.021
2.888 GHz,-12.041
2.888 GHz,-6.021
2.888 GHz,-6.284
2.888 GHz,<invalid>
2.888 GHz,-18.062
2.888 GHz,<invalid>
2.888 GHz,0.000
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,0.000
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,6.284
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,-12.041
2.888 GHz,<invalid>
2.888 GHz,-12.041
2.888 GHz,-13.979
2.888 GHz,-18.325
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-20.000
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,6.021
2.888 GHz,-12.041
2.888 GHz,<invalid>
2.888 GHz,0.000
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,<invalid>
2.888 GHz,-12.041
2.888 GHz,-6.021
2.888 GHz,<invalid>
2.889 GHz,-6.021
2.889 GHz,-6.021
2.889 GHz,-12.041
2.889 GHz,<invalid>
2.889 GHz,<invalid>
2.889 GHz,<invalid>
2.889 GHz,<invalid>
2.889 GHz,<invalid>
2.889 GHz,-6.021
2.889 GHz,-6.021
2.889 GHz,<invalid>
2.889 GHz,-6.021
2.889 GHz,-6.021
2.889 GHz,6.021
2.889 GHz,<invalid>
2.889 GHz,-6.021
2.889 GHz,-6.021
2.889 GHz,-6.021
2.889 GHz,-6.021
2.889 GHz,<invalid>
2.889 GHz,<invalid>
2.889 GHz,-12.041
